Provider Number,Provider Name,Address,City,Phone_Number,ZipCode,Service Area,Supervisory District,Programs/Services,Provider Classification,Age Group Served,Language/Cultures,Operation,Operation Hours,Walk-In-Hours
7775,D'VEAL FAMILY & YOUTH SERVICES - WRAP,1972 N. FAIR OAKS AVE.,PASADENA,(626) 796-3453,91103,3,5,MENTAL HEALTH SERVICES* (MHS),OUTPATIENT,CHILD/YOUTH,ENGLISH,NGA,MON -FRI 8:00 AM- 5:00 PM,MON -FRI 8:00 AM- 5:00 PM
7621,EMERGENCY OUTREACH BUREAU/CRISIS HOMELESS - SG,4024 DURFEE AVE.,EL MONTE,(626) 258-2004,91732,3,1,"COMMUNITY OUTREACH, CRISIS INTERVENTION, CRISIS HOMELESS, MENTAL HEALTH SERVICES* (MHS), PROVIDER LINKAGE AND REFERRAL, PSYCHIATRIC MOBILE RESPONSE",CRISIS SERVICES,CHILD/ADULT,"ENGLISH, SPANISH",DMH,MON -FRI 8:00 AM- 5:00 PM,FIELD RESPONSE ONLY
7173,ENKI LPV MENTAL HEALTH CENTER-LA PUENTE,160 SOUTH SEVENTH AVE.,LA PUENTE,(626) 961-8971,91744,3,1,"0-5 YRS INTENSIVE IN HOME SERVICES, CRISIS INTERVENTION, FIELD CAPABLE CLINICAL SERVICES (FCCS), CCS, FULL SERVICE PARTNERSHIP (FSP), MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PSYCHOLOGICAL TESTING, TARGETED CASE MANAGEMENT, WELLNESS CENTER",OUTPATIENT,ADULT/CHILD/TAY,"CANTONESE, ENGLISH, FARSI, HEBREW, ITALIAN, KOREAN, MANDARIN, RUSSIAN, SINGHALESE, SPANISH, TAGALOG",NGA,"MON, THURS 9:00 AM - 6:00 PM; TUES, WED 10:00 AM - 7:00 PM",CONTACT PROVIDER
7452,ENKI YOUTH FAMILY SERVICES-EL MONTE,3208 ROSEMEAD BLVD. STE. 100,EL MONTE,(626) 227-7001,91731,3,1,"CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE, TARGETED CASE MANAGEMENT",OUTPATIENT,CHILD/TAY,"CANTONESE, ENGLISH, FARSI, FRENCH, GERMAN, HINDI, ITALIAN, JAPANESE, KOREAN, MANDARIN, OTHER CHINESE, SPANISH, TAIWANESE, TOISAN",NGA,MON 9:00 AM - 6:00 PM; TUES - THURS 10:00 AM - 7:00 PM,CONTACT PROVIDER
7712,ETIE LEE,"754 E. ARROW HIGHWAY, SUITE F",COVINA,(626) 974-8122,91722,3,5,MENTAL HEALTH SERVICES* (MHS),OUTPATIENT,CHILD/TAY,ENGLISH,NGA,MON - FRI 8:00 AM - 5:00 PM,CONTACT PROVIDER
7453,ETTIE LEE HOMES-POMONA,160 EAST HOLT AVE. STE. B,POMONA,(909) 620-2521,91767,3,1,"CRISIS INTERVENTION, GROUP HOME, MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PSYCHOLOGICAL TESTING, TARGETED CASE MANAGEMENT, THERAPEUTIC BEHAVIORAL SERVICES",OUTPATIENT,CHILD/TAY,"BURMESE, ENGLISH, MANDARIN, SPANISH, TOISAN",NGA,MON - FRI 9:00 AM - 5:00 PM,CONTACT PROVIDER
7286,FIVE ACRES,867 NORTH FAIR OAKS,PASADENA,(626) 798-6793,91103,3,5,"CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PSYCHOLOGICAL TESTING, TARGETED CASE MANAGEMENT, THERAPEUTIC BEHAVIORAL SERVICES",OUTPATIENT,CHILD/FAMILIES/TAY,"AMERICAN SIGN, ARABIC, ARMENIAN, CANTONESE, ENGLISH, FRENCH, GERMAN, IBO, MANDARIN, SPANISH, TAGALOG, TOISAN",NGA,MON - FRI 8:30 AM - 6:00 PM; SAT BY APPOINTMENT ONLY,CONTACT PROVIDER
7337,FIVE ACRES,760 WEST MOUNTAIN VIEW ST.,ALTADENA,(626) 798-6793,91001,3,5,"CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PSYCHOLOGICAL TESTING, RESIDENTIAL TREATMENT, TARGETED CASE MANAGEMENT, THERAPEUTIC BEHAVIORAL SERVICES",OUTPATIENT,CHILD/FAMILIES/TAY/,"AMERICAN SIGN, ARMENIAN, CANTONESE, ENGLISH, FRENCH, GERMAN, MANDARIN, SPANISH, TAGALOG",NGA,CONTACT PROVIDER,CONTACT PROVIDER
7640,FIVE ACRES,4401 SANTA ANITA AVE. SUITE 100,EL MONTE,(626) 246-1700,91731,3,1,"CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PSYCHOLOGICAL TESTING, TARGETED CASE MANAGEMENT, THERAPEUTIC BEHAVIORAL SERVICES",OUTPATIENT,CHILD/TAY,"ENGLISH, SPANISH",NGA,MON - FRI 8:30 AM - 5:00 PM; WEEKENDS OR NON-BUSINESS HOURS BY APPOINTMENT ONLY,ACCEPTED
7755,FOOTHILL FAMILY SERVICE DUARTE,1801 HUNTINGTON DR.,DUARTE,(626) 993-3000,91010,3,5,"CRISIS INTERVENTION, FIELD CAPABLE CLINICAL SERVICES (FCCS), FULL SERVICE PARTNERSHIP (FSP), MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE, TARGETED CASE MANAGEMENT",OUTPATIENT,ADULT/CHILD/TAY,"ARABIC, ARMERNIAN, CANTONESE, ENGLISH,KOREAN, MANDARIN, SPANISH, VIETNAMESE",NGA,"MON -THURS 8:00 AM- 8:00 PM, FRI 8:00 AM-5:00 PM",CONTACT PROVIDER
7463,FOOTHILL FAMILY SERVICES-EL MONTE,11429 VALLEY BLVD.,EL MONTE,(626) 993-3000,91731,3,1,"CRISIS INTERVENTION, FIELD CAPABLE CLINICAL SERVICES (FCCS), FULL SERVICE PARTNERSHIP (FSP), MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE, TARGETED CASE MANAGEMENT",OUTPATIENT,ADULT/CHILD/TAY,"ARMENIAN, CANTONESE, ENGLISH, KOREAN, MANDARIN, SPANISH, VIETNAMESE",NGA,MON - THURS 9:00 AM - 9:00 PM; FRI 9:00 AM - 6:00 PM,CONTACT PROVIDER
7407,FOOTHILL FAMILY SERVICES-HUDSON,111 SOUTH HUDSON AVE.,PASADENA,(626)-993-3000,91101,3,5,"CRISIS INTERVENTION, FIELD CAPABLE CLINICAL SERVICES (FCCS), FULL SERVICE PARTNERSHIP (FSP), MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE, TARGETED CASE MANAGEMENT",OUTPATIENT,ADULT/CHILD/TAY,"ARMERNIAN, CANTONESE, ENGLISH, KOREAN, MANDARIN, SPANISH, VIETNAMESE",NGA,CONTACT PROVIDER,CONTACT PROVIDER
7330,FOOTHILL FAMILY SERVICES-PASADENA,118 SOUTH OAK KNOLL AVE.,PASADENA,(626) 993-3000,91101,3,5,"CRISIS INTERVENTION, FIELD CAPABLE CLINICAL SERVICES (FCCS), FULL SERVICE PARTNERSHIP (FSP), CHILDREN MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE, TARGETED CASE MANAGEMENT",OUTPATIENT,ADULT/CHILD/TAY,"ARABIC, ARMENIAN, CANTONESE, ENGLISH, KOREAN, MANDARIN, SPANISH, VIETNAMESE",NGA,MON - THURS 8:00 AM - 8:00 PM; FRI 8:00 AM - 5:00 PM,CONTACT PROVIDER
7331,FOOTHILL FAMILY SERVICES-WEST COVINA,1530 W. CAMERON AVE.,WEST COVINA,(626) 993-3000,91790,3,1,"CRISIS INTERVENTION, FIELD CAPABLE CLINICAL SERVICES (FCCS), FULL SERVICE PARTNERSHIP (FSP), MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE, TARGETED CASE MANAGEMENT",OUTPATIENT,ADULT/CHILD/TAY,"ARABIC, ARMENIAN, CANTONESE, ENGLISH, KOREAN, MANDARIN, SPANISH, VIETNAMESE",NGA,MON - THURS 8:00 AM - 8:00 PM; FRI 8:00 AM - 5:00 PM,CONTACT PROVIDER
7602,HATHAWAY SYCAMORES,851 NORTH OAKLAND AVE.,PASADENA,(626) 395-7100,91104,3,5,"CRISIS INTERVENTION, FULL SERVICE PARTNERSHIP (FSP), MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE, TARGETED CASE MANAGEMENT",OUTPATIENT,CHILD/TAY,"ENGLISH, SPANISH",NGA,MON - FRI 9:00 AM - 5:00 PM,CONTACT PROVIDER
7669,HATHAWAY SYCAMORES CHILD AND FAMILY SERVICES,1411 NORTH GRAND AVE. STE. 100,COVINA,(626) 395-7100,91743,3,5,"CRISIS INTERVENTION, FULL SERVICE PARTNERSHIP (FSP), MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE, TARGETED CASE MANAGEMENT",OUTPATIENT,CHILD/TAY,"ENGLISH, SPANISH",NGA,MON - FRI 9:00 AM - 5:00 PM,CONTACT PROVIDER
7601,HATHAWAY SYCAMORES EN PACE,2933 NORTH EL NIDO DR.,ALTADENA,(626) 798-0853,91001,3,5,"CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PSYCHOLOGICAL TESTING, TARGETED CASE MANAGEMENT, THERAPEUTIC BEHAVIORAL SERVICES",OUTPATIENT,CHILD/TAY,"ENGLISH, SPANISH",NGA,MON - FRI 9:00 AM - 5:00 PM,CONTACT PROVIDER
7599,HATHAWAY SYCAMORES FAIR OAKS PACE,625 FAIR OAKS AVE. STE. 300,SOUTH PASADENA,(626) 395-7100,91030,3,5,"CRISIS INTERVENTION, FIELD CAPABLE CLINICAL SERVICES (FCCS), FULL SERVICE PARTNERSHIP (FSP), MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), RESIDENTIAL, SPECIALIZED FOSTER CARE, TARGETED CASE MANAGEMENT, THERAPEUTIC BEHAVIORAL SERVICES",OUTPATIENT,ADULT/CHILD/TAY,"ENGLISH, SPANISH",NGA,MON - FRI 9:00 AM - 5:00 PM,CONTACT PROVIDER
7430,HERITAGE CLINIC PASADENA,447 N. EL MOLINO AVE.,PASADENA,(626) 577-8480,91101,3,5,"CRISIS INTERVENTION, MEDICATION MANAGEMENT, MENTAL HEALTH SERVICES* (MHS), TARGETED CASE MANAGEMENT",OUTPATIENT,OLDER ADULT,"CANTONESE, ENGLISH, MANDARIN, SPANISH",NGA,MON - FRI 8:30 AM - 5:00 PM,CONTACT PROVIDER
7925,HILLSIDE FAMILY RESOURCE CENTER-POMONA,"435 WEST MISSION BLVD., SUITE 201",POMONA,(323) 254-2274,91766,3,1,"COMMUNITY OUTREACH, MENTAL HEALTH SERVICES* (MHS)",OUTPATIENT,CHILD/ADULT,"ENGLISH, SPANISH",NGA,MON -FRI 8:00 AM- 5:00 PM,CONTACT PROVIDER
7231,HILLSIDES FAMILY CENTER,"149 PASADENA AVE.,",SOUTH PASADENA,(323) 254-2274,91030,3,5,"MENTAL HEALTH SERVICES* (MHS), SPECIALIZED FOSTER CARE, TARGETED CASE MANAGEMENT",OUTPATIENT,CHILD/TAY,"ARMENIAN, ENGLISH, JAPANESE, KOREAN, SPANISH",NGA,MON - FRI 8:30 AM - 5:00 PM,CONTACT PROVIDER
7883,HILLSIDES FAMILY RESOURCE CENTER,"13001 RAMONA BLVD., SUITE A",IRWINDALE,(323) 254-2274,91706,3,1,"COMMUNITY OUTREACH, MENTAL HEALTH SERVICES* (MHS)",OUTPATIENT,CHILD/ADULT,"ENGLISH, SPANISH",NGA,MON -FRI 8:00 AM- 5:00 PM,CONTACT PROVIDER
7245,HOMES FOR LIFE FOUNDATION,54 N. WILSON AVE.,PASADENA,(866) 827-3953,91106,3,1,"ASSISTED LIVING, MENTAL HEALTH SERVICES* (MHS)",OUTPATIENT,ADULT/OLDER ADULT,"ENGISH, SPANISH",NGA,MON - FRI 8:00 AM - 5:00 PM,CONTACT PROVIDER
7245,HOMES FOR LIFE FOUNDATION,489 N. MADISON AVE.,PASADENA,(866) 827-3953,91101,3,5,"ASSISTED LIVING, MENTAL HEALTH SERVICES* (MHS)",OUTPATIENT,ADULT/OLDER ADULT,"ENGLISH, SPANISH",NGA,MON - FRI 8:00 AM - 5:00 PM,CONTACT PROVIDER
7504,HOMES FOR LIFE FOUNDATION,"423 S. MONTEREY ST. UNIT A, B & C",ALHAMBRA,(626) 943-9839,91801,3,5,"CRISIS INTERVENTION, MENTAL HEALTH SERVICES* (MHS), TARGETED CASE MANAGEMENT",OUTPATIENT,CHILD/TAY,"ENGLISH, SPANISH",NGA,MON - FRI 9:00 AM - 5:00 PM,CONTACT PROVIDER
7506,HOMES FOR LIFE FOUNDATION,506 EAST FAIRVIEW AVE. UNIT A,SAN GABRIEL,(626) 309-1593,91776,3,5,"CRISIS INTERVENTION, FIELD CAPABLE CLINICAL SERVICES (FCCS), MENTAL HEALTH SERVICES* (MHS), TARGETED CASE MANAGEMENT",OUTPATIENT,CHILD/TAY,"ENGLISH, SPANISH",NGA,MON - FRI 9:00 AM - 5:00 PM,CONTACT PROVIDER
7461,HOMELESS OUTREACH PSYCHIATRIC EVALUATION (HOPE),2982 EAST COLORADO BLVD.,PASADENA,(213) 738-4431,91107,3,5,"CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PSYCHOLOGICAL TESTING, TARGETED CASE MANAGEMENT",OUTPATIENT,ADULT/CHILD/TAY,"CANTONESE, ENGLISH, KOREAN, MANDARIN, SPANISH",DMH,MON - FRI 9:00 AM - 5:00 PM,CONTACT PROVIDER
7565,LEROY HAYNES CENTER,233 WEST BASELINE RD.,LA VERNE,(909) 593-2581,91750,3,5,"CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), TARGETED CASE MANAGEMENT, WRAPAROUND SERVICES",OUTPATIENT,CHILD/TAY,"ENGLISH, SPANISH",NGA,MON - FRI 9:00 AM - 5:00 PM,CONTACT PROVIDER
7474,MARYVALE,7600 EAST GRAVES AVE.,ROSEMEAD,(626) 280-6510,91770,3,1,"CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PSYCHOLOGICAL TESTING, TARGETED CASE MANAGEMENT",OUTPATIENT,CHILD/TAY,"ENGLISH, ITALIAN, SPANISH",NGA,MON - FRI 9:00 AM - 5:00 PM,CONTACT PROVIDER
7815,MARYVALE,2502 N. HUNTINGTON DR.,DUARTE,(626) 357-1514,91010,3,5,MENTAL HEALTH SERVICES* (MHS),OUTPATIENT,CHILD/ADULT,ENGLISH,NGA,MON -FRI 8:00 AM- 5:00 PM,CONTACT PROVIDER
7436,MCKINLEY CHILDREN'S  CENTER,762 WEST CYPRESS ST.,SAN DIMAS,(909) 599-1227,91773,3,5,"CRISIS INTERVENTION, DAY REHABILITATION,  MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PSYCHOLOGICAL TESTING, TARGETED CASE MANAGEMENT",OUTPATIENT,CHILD/TAY,"ARABIC, CANTONESE, ENGLISH, ITALIAN, MANDARIN, SPANISH, SWEDISH, TAIWANESE, YORUBA",NGA,MON - FRI 9:00 AM - 5:00 PM,CONTACT PROVIDER
7072,MENTAL HEALTH COURT LINKAGE PROGRAM,1499 HUNTINGTON DR. SUITE 101,SOUTH PASADENA,(626) 356-5374,91030,3,5,MENTAL HEALTH SERVICES* (MHS),OUTPATIENT,CHILD/ADULT,"ENGLISH, SPANISH",DMH,MON - FRI 8:00 AM - 5:00 PM,BY REFERRAL ONLY
7858,PACIFIC CLINIC - CENTRO FAMILIAR - EL MONTE,3569 LEXINGTON AVE.,EL MONTE,(626) 453-3399,91731,3,1,"CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), TARGETED CASE MANAGEMENT",OUTPATIENT,CHILD/TAY,"ENGLISH, SPANISH/LATINO",NGA,MON - FRI 9:00 AM - 5:00 PM,CONTACT PROVIDER
7914,PACIFIC CLINIC - FOCUS POINT,3126 N. GLENROSE AVE.,ALTADENA,(626) 396-5955,91001,3,5,MENTAL HEALTH SERVICES* (MHS),OUTPATIENT,CHILD/ADULT,"ENGLISH, SPANISH",NGA,MON -FRI 8:00 AM- 5:00 PM,CONTACT PROVIDER
7915,PACIFIC CLINIC - LIFE PROGRAM,"12921 RAMONA BLVD., SUITE F",IRWINDALE,(626) 962-6061,91706,3,1,MENTAL HEALTH SERVICES* (MHS),OUTPATIENT,CHILD/ADULT,"ENGLISH, SPANISH",NAG,MON -FRI 8:00 AM- 5:00 PM,CONTACT PROVIDER
7251,PACIFIC CLINICS,1020 SOUTH ARROYO PKWY.,PASADENA,(626) 795-8471,91105,3,5,"COMMUNITY OUTREACH, CRISIS INTERVENTION, FIELD CAPABLE CLINICAL SERVICES (FCCS), MENTAL HEALTH PROMOTION, MENTAL HEALTH SERVICES* (MHS), PSYCHOLOGICAL TESTING, TARGETED CASE MANAGEMENT",OUTPATIENT,ADULT/CHILD/TAY,"ENGLISH, HUNGARIAN, MANDARIN, RUSSIAN, SAMOAN, SPANISH, SWATOWESE, TAGALOG, TAIWANESE, VIETNAMESE",NGA,MON - FRI 9:00 AM - 5:00 PM,CONTACT PROVIDER
7418,PACIFIC CLINICS,2500 E. FOOTHILL BLVD. 2ND FL.,PASADENA,(626) 795-8471,91107,3,5,"CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PSYCHOLOGICAL TESTING, SUBSTANCE ABUSE, TARGETED CASE MANAGEMENT, WELLNESS CENTER",OUTPATIENT,CHILD/TAY,"AFGHAN, ARMENIAN, CANTONESE, ENGLISH, FARSI, HEBREW, KOREAN, MANDARIN, OTHER CHINESE, PASHTO, RUSSIAN, SPANISH, TAGALOG",NGA,"MON, TUE, FRI 9:00 AM - 5:00 PM; WED, THURS 8:00 AM - 8:00 PM",CONTACT PROVIDER
7101,PACIFIC CLINICS - ASIAN PACIFIC FAMILY CENTER,9353 EAST VALLEY BLVD.,ROSEMEAD,(626) 287-2988,91770,3,1,"CRISIS INTERVENTION, DUAL DIAGNOSIS, FULL SERVICE PARTNERSHIP (FSP), MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE, TARGETED CASE MANAGEMENT",OUTPATIENT,ADULT/CHILD/TAY,"AMERICAN SIGN, ASIAN PACIFIC ISLANDER, CAMBODIAN, CANTONESE, ENGLISH, FRENCH, GERMAN, HEBREW, ITALIAN, JAPANESE, KOREAN, MANDARIN, SINGHALESE, SPANISH, TAGALOG, TAIWANESE, THAI, TOISAN, URDU, VIETNAMESE",NGA,"MON, WED, FRI 9:00 AM - 5:00 PM; TUES, THURS 9:00 AM - 8:00PM; SAT 9:00 AM - 1:00 PM",CONTACT PROVIDER
7439,PACIFIC CLINICS - CHILDRENS INTENSIVE COMMUNITY SERVICES,"1126 NORTH GRAND AVE. SUITES B,C,D.",COVINA,(626) 967-1667,91724,3,5,"CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PSYCHOLOGICAL TESTING, , TARGETED CASE MANAGEMENT, THERAPEUTIC BEHAVIORAL SERVICES",OUTPATIENT,CHILD/TAY,"AFRIKAANS, ENGLISH, FRENCH, SPANISH, TAGALOG, VIETNAMESE",NGA,MON - FRI 9:00 AM - 5:00 PM,CONTACT PROVIDER
7380,PACIFIC CLINICS - SIERRA FAMILY CENTER,1160 S. GRAND AVE.,GLENDORA,(626) 335-5980,91740,3,5,"CRISIS INTERVENTION, MEDICATION SERVICES, MENTAL HEALTH SERVICES* (MHS), TARGETED CASE MANAGEMENT",OUTPATIENT,ADULT/CHILD/TAY,"ENGLISH, SPANISH",NGA,MON - FRI 9:00 AM - 5:00 PM,CONTACT PROVIDER
7401,PACIFIC CLINICS ON LAKE,1460 N. LAKE AVE,PASADENA,(626) 254-5999,91103,3,5,"CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PSYCHOLOGICAL TESTING, TARGETED CASE MANAGEMENT",OUTPATIENT,ADULT/CHILD/TAY,"ARMENIAN, CAMBODIAN, ENGLISH, FRENCH, GERMAN, MANDARIN, SPANISH, TAGALOG, VIETNAMESE, VISAYAN",NGA,MON - FRI 9:00 AM - 5:00 PM,CONTACT PROVIDER
1974,PACIFIC CLINICS PASADENA FAMILY SERVICES,66 HURLBUT ST.,PASADENA,(626) 795-8471,91105,3,5,"CRISIS INTERVENTION, INTENSIVE, MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PSYCHOLOGICAL TESTING, TARGETED CASE MANAGEMENT, THERAPEUTIC BEHAVIORAL SERVICES, WELLNESS CENTER",OUTPATIENT,CHILD/TAY,"AMERICAN SIGN, ARABIC, ARMENIAN, BENGALI, CANTONESE, ENGLISH, FRENCH, GERMAN, HEBREW, HINDI, HMONG, ITALIAN, JAPANESE,  KOREAN, MANDARIN, PORTUGUESE, SPANISH, TAGALOG, TAIWANESE, THAI",NGA,MON - FRI 9:00 AM - 5:00 PM,CONTACT PROVIDER
7284,PACIFIC CLINICS-ACT-EL MONTE,9864 BALDWIN PLC.,EL MONTE,(626) 433-1311,91731,3,1,"CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PSYCHOLOGICAL TESTING, TARGETED CASE MANAGEMENT",OUTPATIENT,ADULT,"CANTONESE, ENGLISH, HUNGARIAN, KOREAN, MANDARIN, OTHER CHINESE, RUSSIAN, SAMOAN, SPANISH, TAGALOG, TAIWANESE, VIETNAMESE",NGA,MON - FRI 9:00 AM - 5:00 PM,CONTACT PROVIDER
7224,PACIFIC CLINICS-ACT-WEST COVINA,1517 WEST GARVEY AVE. NORTH,WEST COVINA,(626) 962-6061,91790,3,1,"CRISIS INTERVENTION, FULL SERVICE PARTNERSHIP (FSP), MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PSYCHOLOGICAL TESTING, TARGETED CASE MANAGEMENT",OUTPATIENT,ADULT,"CANTONESE, ENGLISH, HUNGARIAN, KOREAN, MANDARIN, OTHER CHINESE, RUSSIAN, SAMOAN, SPANISH, TAGALOG, TAIWANESE",NGA,MON - FRI 9:00 AM - 5:00 PM,CONTACT PROVIDER
7353,PACIFIC CLINICS-ARROYO FSP,1020 SOUTH ARROYO PKWY. STE. 100,PASADENA,(626) 403-2794,91105,3,5,"COMMUNITY OUTREACH, CRISIS INTERVENTION, FULL SERVICE PARTNERSHIP (FSP), MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), MENTAL HEALTH PROMOTION, PSYCHOLOGICAL TESTING, TARGETED CASE MANAGEMENT",OUTPATIENT,ADULT,"CANTONESE, ENGLISH, FRENCH, GERMAN, KOREAN, MANDARIN, SAMOAN, SPANISH, TAGALOG, TAIWANESE",NGA,MON - FRI 9:00 AM - 5:00 PM,CONTACT PROVIDER
7561,PACIFIC CLINICS-BONITA FAMILY SERVICE CENTER,790 EAST BONITA AVE.,POMONA,(909) 625-7207,91767,3,1,"CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PSYCHOLOGICAL TESTING, TARGETED CASE MANAGEMENT",OUTPATIENT,ADULT/CHILD/TAY,"ENGLISH, HINDI, ITALIAN, MANDARIN, SPANISH",NGA,MON - FRI 9:00 AM - 5:00 PM,CONTACT PROVIDER
7441,PACIFIC CLINICS-CHILD & FAMILY - FIELD BASED INTENSIVE CARE,10428 LOWER AZUSA RD.,EL MONTE,(626) 453-3399,91731,3,1,"CRISIS INTERVENTION, FIELD CAPABLE CLINICAL SERVICES (FCCS), FULL SERVICE PARTNERSHIP (FSP), MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PSYCHOLOGICAL TESTING, TARGETED CASE MANAGEMENT, THERAPEUTIC BEHAVIORAL SERVICES",OUTPATIENT,CHILD/TAY,"AFGHAN, ARMENIAN, ENGLISH, FRENCH, ITALIAN, KOREAN, PASHTO, RUSSIAN, SPANISH, TAGALOG",NGA,MON - FRI 9:00 AM - 5:00 PM,CONTACT PROVIDER
1979,PACIFIC CLINICS-E FOOTHILL GUIDANCE,902 SOUTH MYRTLE AVE.,MONROVIA,(626) 357-3258,91016,3,5,"CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PSYCHOLOGICAL TESTING, TARGETED CASE MANAGEMENT",OUTPATIENT,ADULT/CHILD/TAY,"ARABIC, ARMENIAN, CANTONESE, ENGLISH, FRENCH, GERMAN, HEBREW, ITALIAN, JAPANESE, KOREAN, MANDARIN, PORTUGUESE, SPANISH, TAGALOG, THAI, URDU, VIETNAMESE",NGA,MON - FRI 9:00 AM - 5:00 PM,CONTACT PROVIDER
7227,PACIFIC CLINICS-EAST-YOUTH DAY TREATMENT,902 SOUTH MYRTLE AVE.,MONROVIA,(626) 303-1541,91016,3,5,"CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PSYCHOLOGICAL TESTING, TARGETED CASE MANAGEMENT",OUTPATIENT,CHILD/TAY,"ARABIC, ARMENIAN, CANTONESE, ENGLISH, HEBREW, JAPANESE, KOREAN, MANDARIN, PORTUGUESE, SPANISH, TAGALOG, TAIWANESE, URDU",NGA,MON - FRI 9:00 AM - 5:00 PM,CONTACT PROVIDER
7642,PASADENA COUNCIL ON ALCOHOL AND DRUG DEPENDENCE - SOCIAL MODEL RECOVERY,1245 E. WALNUT ST. SUITE 117,PASADENA,(626) 795-9127,91107,3,1,MENTAL HEALTH SERVICES* (MHS),OUTPATIENT,CHILD/ADULT,"ENGLISH, SPANISH",NGA,MON - FRI 8:00 AM - 5:00 PM,CONTACT PROVIDER
7567,PASADENA UNIFIED SCHOOL DISTRICT,2046 N. ALLEN AVE. RM. 100,ALTADENA,(626) 396-5920,91001,3,5,"CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), TARGETED CASE MANAGEMENT",OUTPATIENT,CHILD/TAY,"ENGLISH, SPANISH",NGA,MON - FRI 9:00 AM - 5:00 PM,CONTACT PROVIDER
7370,PROTOTYPES I-CAN,"40 N. ALTADENA DR., 1B",PASADENA,(626) 442-0710,91107,3,1,"CALWORKS, CRISIS INTERVENTION, HOMELESS CALWORKS FAMILIES PROJECT (HCFP), INTENSIVE TARGETED CASE MANAGEMENT, MENTAL HEALTH SERVICES* (MHS), PREVENTION & EARLY INTERVENTION (PEI)",OUTPATIENT,ADULT/CHILD/TAY,"BURMESE, ENGLISH, GERMAN, MANDARIN, SPANISH, THAI, VIETNAMESE",NGA,MON - FRI 8:00 AM - 5:00 PM,CONTACT PROVIDER
